Δx [pm]	Δy [pm]	φ [deg]	R [pm]	Δz [pA]
210.18062397	-269.29392447	52.02839624	341.60666335	-6.10351563
492.61083744	26.27257800	-3.05288251	493.31094202	-30.51757812
308.70279146	275.86206897	-41.78451601	414.00156346	36.62109375
151.06732348	-243.02134647	58.13402231	286.14805794	-15.25878906
453.20197044	59.11330049	-7.43140797	457.04092630	6.10351562
295.56650246	295.56650246	-45.00000000	417.99415637	-15.25878906
295.56650246	249.58949097	-40.17923392	386.85200191	21.36230469
459.77011494	32.84072250	-4.08561678	460.94150567	-67.13867187
177.33990148	-229.88505747	52.35237936	290.33873373	24.41406250
151.06732348	-243.02134647	58.13402231	286.14805794	-109.86328125
236.45320197	262.72577997	-48.01278750	353.46138712	-27.46582031
426.92939245	45.97701149	-6.14662566	429.39794098	3.05175781
